,Hours_Coding,Lines_of_Code,Bugs_Found,Bugs_Fixed,AI_Usage_Hours,Sleep_Hours,Cognitive_Load,Task_Success_Rate,Coffee_Intake,Stress_Level,Task_Duration_Hours,Commits,Errors
Hours_Coding,1.0,0.81,0.04,0.02,-0.0,0.0,-0.02,0.02,-0.05,-0.01,0.78,0.7,0.02
Lines_of_Code,0.81,1.0,0.04,0.02,0.29,-0.03,-0.04,0.11,-0.02,-0.04,0.64,0.62,0.04
Bugs_Found,0.04,0.04,1.0,0.94,-0.01,-0.01,-0.02,0.01,0.02,-0.02,0.02,0.04,-0.02
Bugs_Fixed,0.02,0.02,0.94,1.0,-0.02,-0.01,-0.03,0.02,0.01,-0.03,-0.01,0.02,-0.04
AI_Usage_Hours,-0.0,0.29,-0.01,-0.02,1.0,-0.03,-0.01,0.25,-0.01,-0.03,-0.01,0.17,0.04
Sleep_Hours,0.0,-0.03,-0.01,-0.01,-0.03,1.0,-0.05,0.05,0.01,-0.05,-0.03,0.04,-0.04
Cognitive_Load,-0.02,-0.04,-0.02,-0.03,-0.01,-0.05,1.0,-0.94,0.05,0.97,-0.02,-0.01,-0.03
Task_Success_Rate,0.02,0.11,0.01,0.02,0.25,0.05,-0.94,1.0,-0.05,-0.92,0.02,0.05,0.04
Coffee_Intake,-0.05,-0.02,0.02,0.01,-0.01,0.01,0.05,-0.05,1.0,0.04,0.0,-0.08,-0.03
Stress_Level,-0.01,-0.04,-0.02,-0.03,-0.03,-0.05,0.97,-0.92,0.04,1.0,-0.01,-0.01,-0.03
Task_Duration_Hours,0.78,0.64,0.02,-0.01,-0.01,-0.03,-0.02,0.02,0.0,-0.01,1.0,0.53,0.04
Commits,0.7,0.62,0.04,0.02,0.17,0.04,-0.01,0.05,-0.08,-0.01,0.53,1.0,0.01
Errors,0.02,0.04,-0.02,-0.04,0.04,-0.04,-0.03,0.04,-0.03,-0.03,0.04,0.01,1.0
